template_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1.0,0.04249779199950573,0.25103963757976633,0.05784724264604164,0.07533776681746931,0.20367765992487294,0.057390805996076905,0.06907321251349349,0.0,0.08079249836048841,0.04668738492802847,0.07320414172828738,0.03161793067852817,0.06327679270730735,0.07686703679866452,0.08580012998241487,0.04360216525205336,0.010043444546666709,0.010043444546666709,0.03326677148217984,0.027989666791704955
2,0.04249779199950573,1.0000000000000002,0.17194949203666424,0.04637961155114359,0.13585663574576257,0.017796052007810138,0.04601365885305907,0.11158201735763432,0.03893884254425999,0.14569315609453176,0.4142957641031238,0.1182551891788848,0.07680226758772826,0.16559265070534113,0.12417229085186944,0.15472342091320268,0.14639839025369994,0.0262832633187899,0.0262832633187899,0.11412543930073135,0.07324775669077863
3,0.25103963757976633,0.17194949203666424,1.0,0.05588990773710617,0.07278861781385362,0.02144519265118181,0.05544891520077293,0.06673603265943817,0.0,0.07805878158873633,0.18890092273471712,0.07072718663882573,0.030548097845802476,0.0611357420776459,0.07426614300337922,0.08289697363608081,0.4750860726327516,0.009703611847337635,0.009703611847337635,0.03214114802717657,0.02704260087473294
4,0.05784724264604164,0.04637961155114359,0.05588990773710617,1.0000000000000002,0.08221924471194883,0.024223671165065297,0.06263297840829113,0.22653422589562275,0.10472381266050355,0.08817222057676405,0.050951888919919905,0.24008212410174914,0.0345059654614098,0.06905660101120745,0.2520950458859022,0.09363725766431141,0.5143470624224435,0.010960829605342108,0.010960829605342108,0.03630541414768341,0.030546289869843528
5,0.07533776681746931,0.13585663574576257,0.07278861781385362,0.08221924471194883,1.0,0.0315478699799639,0.08157050373653917,0.4812493125959103,0.0,0.6243350640935319,0.149249896280803,0.10404625989719664,0.044939088897458915,0.20228279572964078,0.10925239336821244,0.6630322212934785,0.061972480119149076,0.0321068112768102,0.0321068112768102,0.1063469757615782,0.08947716544921094
6,0.20367765992487294,0.017796052007810138,0.02144519265118181,0.024223671165065297,0.0315478699799639,1.0000000000000002,0.024032537226597685,0.028924572887244326,0.0,0.03383205185532672,0.019550454063531328,0.030654409372582424,0.013240084066978517,0.02649730823473746,0.03218825544092266,0.03592900956976032,0.018258510947761673,0.004205716416799175,0.004205716416799175,0.013930540095722926,0.011720739889551223
7,0.057390805996076905,0.04601365885305907,0.05544891520077293,0.06263297840829113,0.08157050373653917,0.024032537226597685,1.0000000000000002,0.0747876792403169,0.0,0.08747650836751905,0.05054985922197414,0.07926036261261708,0.034233700327263736,0.06851171827900235,0.08322629110567493,0.09289842424295547,0.04720939754201875,0.010874344509129164,0.010874344509129164,0.03601895068199072,0.030305268075557595
8,0.06907321251349349,0.11158201735763432,0.06673603265943817,0.22653422589562275,0.4812493125959103,0.028924572887244326,0.0747876792403169,1.0000000000000002,0.18833548032084108,0.10528312588641935,0.12258219428158568,0.6875796422761328,0.12482952880627414,0.1661392710069341,0.7219838716369931,0.11180872072681773,0.17074941347135786,0.026370024206190206,0.026370024206190206,0.1313392533891094,0.07348954707629862
9,0.0,0.03893884254425999,0.0,0.10472381266050355,0.0,0.0,0.0,0.18833548032084108,1.0000000000000002,0.0,0.04277758078671244,0.19959889937330838,0.05794021601314509,0.05797771959456804,0.20958617341691183,0.0,0.07893522277955643,0.009202362932389761,0.009202362932389761,0.06096173545748188,0.025645690676851584
10,0.08079249836048841,0.14569315609453176,0.07805878158873633,0.08817222057676405,0.6243350640935319,0.03383205185532672,0.08747650836751905,0.10528312588641935,0.0,1.0000000000000002,0.16005613797638835,0.4110021653041033,0.17751779700585707,0.4757461389899295,0.11716266867143166,0.7110381939192681,0.06645951572406775,0.03443146255883847,0.03443146255883847,0.11404688813881707,0.09595564148286174
